RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,31-12-2023,31-03-2024,30-06-2024
84868,1410,61265,zip,IL,IL,Moline,"Davenport-Moline-Rock Island, IA-IL",Rock Island County,818.9660985,892.7833104,881.9229647
84572,1416,60543,zip,IL,IL,Oswego,"Chicago-Naperville-Elgin, IL-IN-WI",Kendall County,2150.634956,2218.69957,2254.347909
84323,1425,60067,zip,IL,IL,Palatine,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1912.485562,1977.286723,2007.585473
84368,1443,60115,zip,IL,IL,Dekalb,"Chicago-Naperville-Elgin, IL-IN-WI",DeKalb County,1343.483167,1467.571774,1469.430302
84569,1463,60540,zip,IL,IL,Naperville,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2092.790505,2143.772538,2174.354626
84320,1526,60062,zip,IL,IL,Northbrook,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2529.030884,2619.493045,2557.859032
84656,1545,60660,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1599.036997,1617.609207,1675.326754
84689,1593,60707,zip,IL,IL,Elmwood Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1558.939979,1598.935352,1691.370033
84612,1636,60610,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2464.079017,2532.881881,2638.140178
84433,1680,60188,zip,IL,IL,Carol Stream,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,1677.180567,1733.6329,1825.058539
84438,1749,60193,zip,IL,IL,Schaumburg,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2000.707607,1960.992109,2027.902906
85052,1761,61554,zip,IL,IL,Pekin,"Peoria, IL",Tazewell County,,,
84617,1785,60615,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1725.017503,1739.249615,1744.088641
84292,1788,60025,zip,IL,IL,Glenview,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2217.724442,2216.83279,2500.316372
84513,1880,60462,zip,IL,IL,Orland Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2325.720885,2399.802316,2360.092165
85282,1915,62040,zip,IL,IL,Granite City,"St. Louis, MO-IL",Madison County,,879.6696684,930.6572662
84295,1918,60030,zip,IL,IL,Grayslake,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,,1921.813498,1965.938838
84361,1948,60107,zip,IL,IL,Streamwood,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,,2346.808917,
84388,2004,60137,zip,IL,IL,Glen Ellyn,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2021.591909,2010.017116,2136.253043
84318,2036,60060,zip,IL,IL,Mundelein,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,,1996.684892,2057.954422
84324,2038,60068,zip,IL,IL,Park Ridge,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2656.115458,2891.819772,2824.201029
84590,2084,60563,zip,IL,IL,Naperville,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,1885.894093,1938.551268,1949.943507
84540,2085,60504,zip,IL,IL,Aurora,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,1988.544302,2112.835496,2140.586278
85643,2151,62704,zip,IL,IL,Leland Grove,"Springfield, IL",Sangamon County,1034.766933,1038.632458,1075.10785
84384,2160,60133,zip,IL,IL,Hanover Park,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2106.976591,2250.707717,2251.56535
84497,2169,60446,zip,IL,IL,Romeoville,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,1881.203088,1910.742628,1917.179607
84345,2175,60090,zip,IL,IL,Wheeling,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1914.469722,1978.989444,2011.876682
84444,2215,60201,zip,IL,IL,Evanston,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2855.7107,2833.027584,2828.864818
85172,2232,61820,zip,IL,IL,Champaign,"Champaign-Urbana, IL",Champaign County,1222.371601,1276.441677,1306.952983
